id,wish_id,name,description,created_at,updated_at
1,1,"アイブロウスタイリング

（カット・ワックス脱毛）",アイブロウスタイリングは、眉毛の余分な産毛やムダ毛をワックスとツィーザー（毛抜き）を使って脱毛し、長さや毛量の調整をすることで目周りに明るさと透明感を与え、清潔感のある整った眉毛に仕上げる技術です。 骨格や筋肉、眉毛の生え方、お客様のイメージや好みをカウンセリングで確認し、眉毛の上に直接デッサンして余分な毛を脱毛します。,2022-05-17 12:58:18,2022-05-17 12:58:18
2,1,ハリウッドブロウリフト,ハリウッドブロウリフト【HBL】は、眉毛をパーマとワックスでフワッとナチュラルに仕上げる次世代アイブロウです。 ハリウッドブロウリフトの最大の魅力は毛流れを自由自在に動かせることで、自分に合った毛流れにより、自分らしさや個性を引き立てる美眉へと導く最新のアイブロウです。,2022-05-17 12:58:18,2022-05-17 12:58:18
3,1,ブロウラミネーション（パーマ）,"ブロウラミネーションとは、眉毛の毛流れを整えて形を作りやすくする眉毛パーマです。 
自眉毛を生かして、毛流れを調整し、ふんわりと立体的な眉毛に仕上げるもの。
外国人風メイク好きに人気の上向き立ち上げ眉毛や眉毛が足りないところをカバーしてるなど自由自在に作ることができる。
※欧米のものとは別の日本独特のメニューです。",2022-05-17 12:58:18,2022-05-17 12:58:18
4,1,2D.3D.4Dアートメイク,"アートメイクとは、皮膚のごく浅いところ（0.04〜0.2㎜程度）に色素を入れる洗っても落ちないメイクのことです。
２D⇨昔ながらのアートメイク。ペンシルで眉毛を縁取り、全体的に色味が入るためくっきりとした仕上がりです。
３D⇨眉毛を1本1本手彫りで彫り、色素を注入するため眉が生えているかのように再現できます。
部分的に生えない箇所などの細かな修正も可能。
４D⇨パウダー状に色素を入れる技術で、3Dアートメイクとセットで行われるのが一般的です。
眉頭が1番色が薄く、眉尻にいくにつれて色が濃くなる眉毛が美しいと言われているように、まるでパウダーでふんわりと色を入れたかのようなグラデーション再現をすることも可能。
自然なお化粧をしたような仕上がり。
手彫りの行程が少なく、お肌への負担を減らして施術することができます。
※６Dもあるようですがほぼ４Dと同じようです。",2022-05-17 12:58:18,2022-05-17 12:58:18
5,1,"アイブロウメイク
",1人1人の顔の骨格や筋肉、毛質、ライフスタイル、好みなどいろいろな観点から自分に似合う眉毛の形を提案してもらい、アイブロウペンシルやパウダー、眉マスカラ等でのメイクをします。,2022-05-17 12:58:18,2022-05-17 12:58:18
6,2,2D.3D.4Dアートメイク,"アートメイクとは、皮膚のごく浅いところ（0.04〜0.2㎜程度）に色素を入れる洗っても落ちないメイクのことです。
２D⇨昔ながらのアートメイク。ペンシルで眉毛を縁取り、全体的に色味が入るためくっきりとした仕上がりです。
３D⇨眉毛を1本1本手彫りで彫り、色素を注入するため眉が生えているかのように再現できます。
部分的に生えない箇所などの細かな修正も可能。
４D⇨パウダー状に色素を入れる技術で、3Dアートメイクとセットで行われるのが一般的です。
眉頭が1番色が薄く、眉尻にいくにつれて色が濃くなる眉毛が美しいと言われているように、まるでパウダーでふんわりと色を入れたかのようなグラデーション再現をすることも可能。
自然なお化粧をしたような仕上がり。
手彫りの行程が少なく、お肌への負担を減らして施術することができます。
※６Dもあるようですがほぼ４Dと同じようです。",2022-05-17 12:58:18,2022-05-17 12:58:18
7,2,アイブロウメイク,1人1人の顔の骨格や筋肉、毛質、ライフスタイル、好みなどいろいろな観点から自分に似合う眉毛の形を提案してもらい、アイブロウペンシルやパウダー、眉マスカラ等でのメイクをします。,2022-05-17 12:58:18,2022-05-17 12:58:18
8,2,2D.3D.4Dアートメイク,"アートメイクとは、皮膚のごく浅いところ（0.04〜0.2㎜程度）に色素を入れる洗っても落ちないメイクのことです。
２D⇨昔ながらのアートメイク。ペンシルで眉毛を縁取り、全体的に色味が入るためくっきりとした仕上がりです。
３D⇨眉毛を1本1本手彫りで彫り、色素を注入するため眉が生えているかのように再現できます。
部分的に生えない箇所などの細かな修正も可能。
４D⇨パウダー状に色素を入れる技術で、3Dアートメイクとセットで行われるのが一般的です。
眉頭が1番色が薄く、眉尻にいくにつれて色が濃くなる眉毛が美しいと言われているように、まるでパウダーでふんわりと色を入れたかのようなグラデーション再現をすることも可能。
自然なお化粧をしたような仕上がり。
手彫りの行程が少なく、お肌への負担を減らして施術することができます。
※６Dもあるようですがほぼ４Dと同じようです。",2022-05-17 12:58:18,2022-05-17 12:58:18
9,3,"アイブロウスタイリング
（カット・ワックス脱毛）",アイブロウスタイリングは、眉毛の余分な産毛やムダ毛をワックスとツィーザー（毛抜き）を使って脱毛し、長さや毛量の調整をすることで目周りに明るさと透明感を与え、清潔感のある整った眉毛に仕上げる技術です。 骨格や筋肉、眉毛の生え方、お客様のイメージや好みをカウンセリングで確認し、眉毛の上に直接デッサンして余分な毛を脱毛します。,2022-05-17 12:58:18,2022-05-17 12:58:18
10,3,ハリウッドブロウリフト,ハリウッドブロウリフト【HBL】は、眉毛をパーマとワックスでフワッとナチュラルに仕上げる次世代アイブロウです。 ハリウッドブロウリフトの最大の魅力は毛流れを自由自在に動かせることで、自分に合った毛流れにより、自分らしさや個性を引き立てる美眉へと導く最新のアイブロウです。,2022-05-17 12:58:18,2022-05-17 12:58:18
